Unofficial Election Night Final #1 - Projected Outstanding Ballots 350,000
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","JAMES ELIA","7","0","0","3743","0","3743","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","JUDITH K. WALTERS","7","0","0","6461","0","6461","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","TOM LEMMON","7","0","0","5200","0","5200","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","RYAN DARSEY","7","0","0","4034","0","4034","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","TIFFANY MAPLE","7","0","0","5229","0","5229","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","CHRIS PEARSON","7","0","0","5291","0","5291","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","CHRISTINA PERRY","7","0","0","8584","0","8584","285","285","23484"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","ROBERT GRAND","7","0","0","4398","0","4398","285","285","23484"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","JOEL ANDERSON","1","0","0","22377","0","22377","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","STEVE ROBAK","1","0","0","6049","0","6049","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","MIKE HARRISON","1","0","0","4063","0","4063","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","FRANK I. HILLIKER","1","0","0","15712","0","15712","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","BARON T. ""BARRY"" WILLIS","1","0","0","7979","0","7979","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","CHRISTINE LA MARCA","1","0","0","4885","0","4885","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","RON NEHRING","1","0","0","7072","0","7072","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","GARY G. KREEP","1","0","0","7813","0","7813","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","JIM KELLY","1","0","0","11601","0","11601","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","JILL BARTO","1","0","0","4862","0","4862","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","MARK BRYAN","1","0","0","9986","0","9986","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","DAN BICKFORD","1","0","0","8502","0","8502","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","JORDAN GASCON","1","0","0","5585","0","5585","285","285","37796"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","DUSTIN TROTTER","1","0","0","10052","0","10052","285","285","37796"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","HEATHER ROBERTS","7","0","0","6819","0","6819","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","ANTONIO R. ROBLES","7","0","0","4636","0","4636","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","THERESA ""TERRY"" CORRALES","7","0","0","6348","0","6348","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","GLORIA R. CONEJO","7","0","0","6382","0","6382","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","ROBERT ""BOB"" J. HAMILTON","7","0","0","3961","0","3961","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","NICOLLE LEEDS","7","0","0","3212","0","3212","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","WAYNE LU","7","0","0","4426","0","4426","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","MICHAEL F. SUMMERS","7","0","0","3438","0","3438","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","VALENTINE RICHARD MACEDO","7","0","0","2383","0","2383","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","GIBHRAN JIMENEZ","7","0","0","5117","0","5117","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","VANESSA VALENZUELA","7","0","0","5317","0","5317","201","201","20792"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","GEORGE VAN HASSELT","7","0","0","3815","0","3815","201","201","20792"
